YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1880   -3.7    1.9    7.7   10.0   12.7   15.7   20.7   17.8   15.8   11.4    6.2    5.8    -0.7    10.1    18.1    11.1    9.65
1881   -1.4    3.6    7.0    9.3   13.2   17.3   22.7   19.7   13.2    7.0    6.0    0.8     2.7     9.8    19.9     8.7   10.28
1882    0.1    2.0    7.4    9.4   13.8   16.1   17.5   17.3   13.2   10.6    6.3    2.3     1.0    10.2    17.0    10.0    9.54
1883    2.0    4.3    2.3    8.6   14.0   16.5   18.0   18.0   14.2    8.8    5.8    0.8     2.9     8.3    17.5     9.6    9.57
1884    3.0    4.2    7.1    8.9   15.0   15.1   20.3   19.5   15.3    9.2    3.0    2.7     2.7    10.3    18.3     9.2   10.12
1885   -1.8    5.1    5.8    9.9   11.9   18.4   20.8   19.0   14.2    8.7    6.0    2.2     2.0     9.2    19.4     9.6   10.06
1886   -0.6    0.1    4.8   10.8   13.8   16.4   20.1   18.9   17.3   10.8    6.0    2.6     0.6     9.8    18.5    11.4   10.05
1887   -2.2   -0.5    2.7    9.0   11.3   18.4   21.6   18.8   14.2    6.7    3.8    1.0    -0.0     7.7    19.6     8.2    8.87
1888   -1.2   -0.6    4.4    7.5   15.0   17.9   17.3   17.4   15.8    7.1    5.9    0.9    -0.3     9.0    17.5     9.6    8.96
1889   -0.3    0.2    3.2    8.4   14.6   18.2   18.9   17.9   13.8    9.2    4.7   -1.0     0.3     8.7    18.3     9.2    9.14
1890    1.5   -0.8    4.9    8.6   14.3   17.0   18.1   18.1   13.9    8.0    4.0   -3.1    -0.1     9.3    17.7     8.6    8.88
1891   -4.4   -1.0    4.8    7.6   13.4   17.1   18.6   17.7   15.2   10.8    4.7    2.5    -2.8     8.6    17.8    10.2    8.45
1892    0.2    2.6    2.7    9.9   13.8   18.3   18.7   19.6   15.8    9.4    6.7   -0.4     1.8     8.8    18.9    10.6   10.02
1893   -3.7    3.2    6.8   12.7   14.2   18.1   19.7   20.4   15.5   11.2    4.7    1.0    -0.3    11.2    19.4    10.5   10.20
1894   -0.4    2.5    6.0   11.4   13.0   16.7   19.7   18.0   14.1   10.5    6.2    1.0     1.0    10.1    18.1    10.3    9.89
1895   -3.3   -4.6    3.1   10.2   13.5   17.5   20.1   18.5   17.6    9.8    7.9    2.6    -2.3     8.9    18.7    11.8    9.27
1896   -0.8   -0.5    8.3    8.0   12.1   16.6   19.3   15.8   14.3    8.6    3.5    1.9     0.4     9.5    17.2     8.8    8.98
1897   -0.5    5.0    8.2    9.6   12.5   18.9   20.1   18.4   13.7    8.4    3.7    1.2     2.1    10.1    19.1     8.6    9.99
1898    1.4    2.2    4.2    9.8   12.8   16.0   18.5   19.5   16.7   11.3    7.1    1.9     1.6     8.9    18.0    11.7   10.06
1899    4.1    4.0    6.0    9.2   13.0   17.1   19.1   19.8   15.5   10.5    5.5    0.3     3.3     9.4    18.7    10.5   10.47
1900    2.8    4.2    2.2    8.8   12.7   18.0   21.0   18.1   16.7   10.9    5.8    3.2     2.4     7.9    19.0    11.1   10.12
1901    0.0   -2.3    3.9   10.1   14.1   18.0   19.6   17.8   15.2    9.3    3.0    1.6     0.3     9.4    18.5     9.2    9.32
1902    1.1    1.4    6.0   11.4   10.3   16.2   19.9   17.9   14.4    9.4    3.7    1.1     1.4     9.2    18.0     9.2    9.44
1903    1.1    3.0    6.4    6.7   13.3   15.5   18.3   18.2   15.1   10.8    5.1    0.8     1.7     8.8    17.3    10.3    9.55
1904    0.0    3.4    5.0   11.3   14.8   17.9   21.9   20.3   13.4    9.8    4.0    1.8     1.4    10.4    20.0     9.1   10.22
1905   -1.8    1.5    6.9   10.3   12.2   17.9   22.0   18.8   15.1    6.0    4.7    1.2     0.5     9.8    19.6     8.6    9.62
1906    1.9    0.5    4.4    8.9   13.7   17.3   19.7   20.1   15.1   11.6    6.2   -1.2     1.2     9.0    19.0    11.0   10.05
1907    0.2   -1.1    4.1    8.0   13.5   16.7   17.8   19.4   15.4   10.5    6.4    4.0    -0.7     8.5    18.0    10.8    9.14
