Date,Dernier,Ouv.,+ Haut,+ Bas,Variation %
2016-03-31,0.7923,0.7886,0.7932,0.788,0.48%
2016-03-30,0.7885,0.7848,0.7887,0.7835,0.46%
2016-03-29,0.7849,0.7852,0.7876,0.7825,-0.06%
2016-03-28,0.7854,0.7896,0.7909,0.7843,-0.52%
2016-03-25,0.7895,0.7893,0.7914,0.7882,0.01%
2016-03-24,0.7894,0.7917,0.7947,0.7879,-0.37%
2016-03-23,0.7923,0.7892,0.7935,0.7878,0.37%
2016-03-22,0.7894,0.7819,0.7909,0.7811,0.89%
2016-03-21,0.7824,0.7782,0.784,0.7779,0.54%
2016-03-18,0.7782,0.7815,0.7833,0.7771,-0.45%
2016-03-17,0.7817,0.7868,0.7913,0.7803,-0.70%
2016-03-16,0.7872,0.7847,0.7889,0.7837,0.29%
2016-03-15,0.7849,0.7763,0.7863,0.7753,1.07%
2016-03-14,0.7766,0.7749,0.7771,0.7732,0.18%
2016-03-11,0.7752,0.7826,0.7851,0.7735,-0.98%
2016-03-10,0.7829,0.7737,0.7852,0.765,1.16%
2016-03-09,0.7739,0.7742,0.7759,0.7697,-0.06%
2016-03-08,0.7744,0.7718,0.7796,0.7713,0.30%
2016-03-07,0.7721,0.773,0.7752,0.7708,-0.17%
2016-03-04,0.7734,0.7725,0.7775,0.7717,0.05%
2016-03-03,0.773,0.7716,0.7754,0.7701,0.13%
2016-03-02,0.772,0.7789,0.7814,0.7688,-0.91%
2016-03-01,0.7791,0.7811,0.7824,0.7755,-0.28%
2016-02-29,0.7813,0.7879,0.7898,0.7788,-0.89%
2016-02-26,0.7883,0.7892,0.7925,0.784,-0.14%
2016-02-25,0.7894,0.7906,0.7931,0.7876,-0.18%
2016-02-24,0.7908,0.7856,0.7927,0.7848,0.62%
2016-02-23,0.7859,0.7791,0.7867,0.7773,0.82%
2016-02-22,0.7795,0.7723,0.7844,0.7723,0.85%
2016-02-19,0.7729,0.7741,0.7796,0.772,-0.25%
2016-02-18,0.7748,0.7781,0.7821,0.7705,-0.46%
2016-02-17,0.7784,0.7787,0.7847,0.7758,-0.08%
2016-02-16,0.779,0.7724,0.7816,0.7692,0.80%
2016-02-15,0.7728,0.7759,0.7762,0.7695,-0.44%
2016-02-12,0.7762,0.7822,0.7831,0.7738,-0.77%
2016-02-11,0.7822,0.7773,0.7901,0.7749,0.62%
2016-02-10,0.7774,0.7801,0.782,0.7709,-0.37%
2016-02-09,0.7803,0.7754,0.7853,0.7729,0.57%
2016-02-08,0.7759,0.7692,0.7769,0.7659,0.84%
2016-02-05,0.7694,0.768,0.7719,0.7667,0.16%
2016-02-04,0.7682,0.7599,0.7702,0.7588,1.04%
2016-02-03,0.7603,0.7574,0.7619,0.7523,0.34%
2016-02-02,0.7577,0.7542,0.7618,0.7537,0.44%
2016-02-01,0.7544,0.7606,0.7626,0.7537,-0.82%
2016-01-29,0.7606,0.7612,0.7653,0.7559,-0.14%
2016-01-28,0.7617,0.7651,0.7666,0.7591,-0.47%
2016-01-27,0.7653,0.7572,0.7666,0.7561,1.03%
2016-01-26,0.7575,0.7611,0.7666,0.7546,-0.50%
2016-01-25,0.7613,0.7565,0.7621,0.755,0.58%
2016-01-22,0.7569,0.7644,0.7653,0.7523,-1.02%
2016-01-21,0.7647,0.7672,0.7744,0.7614,-0.36%
2016-01-20,0.7675,0.7701,0.7758,0.7666,-0.42%
2016-01-19,0.7707,0.7644,0.7715,0.7581,0.77%
2016-01-18,0.7648,0.7653,0.7672,0.7593,-0.12%
2016-01-15,0.7657,0.7538,0.7698,0.7522,1.57%
2016-01-14,0.7539,0.7545,0.7608,0.752,-0.15%
2016-01-13,0.755,0.7511,0.7554,0.7465,0.47%
2016-01-12,0.7515,0.7464,0.7549,0.745,0.63%
2016-01-11,0.7468,0.7524,0.7555,0.744,-0.81%
2016-01-08,0.7529,0.7477,0.753,0.7417,0.64%
2016-01-07,0.7481,0.7368,0.7486,0.7358,1.51%
2016-01-06,0.737,0.7324,0.7381,0.7317,0.63%
2016-01-05,0.7324,0.7357,0.7368,0.731,-0.49%
2016-01-04,0.736,0.7359,0.742,0.7344,-0.05%
2016-01-01,0.7364,0.7368,0.7374,0.7335,-0.07%
2015-12-31,0.7369,0.7376,0.7385,0.7333,-0.14%
2015-12-30,0.7379,0.737,0.7392,0.7346,0.11%
2015-12-29,0.7371,0.7371,0.741,0.735,-0.01%
2015-12-28,0.7372,0.7356,0.7385,0.7334,0.29%
2015-12-25,0.7351,0.7354,0.7368,0.7322,-0.05%
2015-12-24,0.7355,0.7334,0.7372,0.7317,0.26%
2015-12-23,0.7336,0.7386,0.7393,0.7305,-0.72%
2015-12-22,0.7389,0.7328,0.7416,0.7318,0.78%
2015-12-21,0.7332,0.7288,0.7348,0.7276,0.48%
2015-12-18,0.7297,0.7264,0.7305,0.7238,0.43%
2015-12-17,0.7266,0.727,0.7298,0.7246,-0.10%
2015-12-16,0.7273,0.7267,0.7317,0.7256,0.10%
2015-12-15,0.7266,0.7258,0.7304,0.7213,0.10%
2015-12-14,0.7259,0.7216,0.7304,0.7204,0.53%
2015-12-11,0.7221,0.7216,0.7252,0.7205,0.06%
2015-12-10,0.7217,0.726,0.7268,0.7201,-0.63%
2015-12-09,0.7263,0.7254,0.7275,0.7217,0.07%
2015-12-08,0.7258,0.7196,0.728,0.7191,0.83%
2015-12-07,0.7198,0.7187,0.7212,0.7162,-0.08%
2015-12-04,0.7204,0.722,0.7238,0.7177,-0.25%
2015-12-03,0.7222,0.7096,0.7251,0.7054,1.73%
2015-12-02,0.7099,0.7047,0.7116,0.7027,0.71%
2015-12-01,0.7049,0.7014,0.7054,0.7004,0.47%
2015-11-30,0.7016,0.7037,0.7055,0.701,-0.41%
2015-11-27,0.7045,0.7021,0.7056,0.7015,0.28%
2015-11-26,0.7025,0.7023,0.7047,0.7012,0.00%
2015-11-25,0.7025,0.7051,0.708,0.7,-0.41%
2015-11-24,0.7054,0.7029,0.7083,0.7013,0.30%
2015-11-23,0.7033,0.7006,0.7037,0.6989,0.36%
2015-11-20,0.7008,0.7018,0.7029,0.6982,-0.17%
2015-11-19,0.702,0.6992,0.7028,0.698,0.34%
2015-11-18,0.6996,0.6993,0.7022,0.6979,0.00%
2015-11-17,0.6996,0.7025,0.7037,0.6983,-0.50%
2015-11-16,0.7031,0.7051,0.7082,0.7018,-0.64%
2015-11-13,0.7076,0.71,0.7104,0.7038,-0.37%
2015-11-12,0.7102,0.7063,0.7109,0.7038,0.55%
2015-11-11,0.7063,0.7093,0.7107,0.7047,-0.44%
2015-11-10,0.7094,0.7111,0.7127,0.7065,-0.25%
2015-11-09,0.7112,0.7124,0.7154,0.7105,-0.35%
2015-11-06,0.7137,0.7155,0.7212,0.7107,-0.28%
2015-11-05,0.7157,0.7059,0.716,0.7038,1.35%
2015-11-04,0.7062,0.711,0.7118,0.7051,-0.69%
2015-11-03,0.7111,0.7144,0.7149,0.7096,-0.50%
2015-11-02,0.7147,0.7145,0.7164,0.7105,0.20%
2015-10-30,0.7133,0.7167,0.7201,0.7121,-0.50%
2015-10-29,0.7169,0.7157,0.7193,0.7141,0.18%
2015-10-28,0.7156,0.7222,0.725,0.7142,-0.93%
2015-10-27,0.7223,0.7201,0.7227,0.7189,0.28%
2015-10-26,0.7203,0.7184,0.7211,0.717,0.11%
2015-10-23,0.7195,0.7214,0.7234,0.7166,-0.28%
2015-10-22,0.7215,0.735,0.7359,0.7208,-1.88%
2015-10-21,0.7353,0.7346,0.7378,0.733,0.05%
2015-10-20,0.7349,0.7323,0.7358,0.7311,0.34%
2015-10-19,0.7324,0.735,0.7373,0.7301,-0.37%
2015-10-16,0.7351,0.7365,0.7378,0.7336,-0.18%
2015-10-15,0.7364,0.7414,0.7427,0.7338,-0.66%
2015-10-14,0.7413,0.746,0.7476,0.7398,-0.70%
2015-10-13,0.7465,0.7398,0.7496,0.739,0.88%
2015-10-12,0.74,0.7413,0.7426,0.7394,-0.28%
2015-10-09,0.7421,0.7345,0.7433,0.7333,0.99%
2015-10-08,0.7348,0.7335,0.7381,0.7331,0.18%
2015-10-07,0.7335,0.74,0.7406,0.733,-0.92%
2015-10-06,0.7403,0.7386,0.7413,0.7367,0.23%
2015-10-05,0.7386,0.7381,0.7425,0.7369,0.04%
2015-10-02,0.7383,0.7397,0.7442,0.7329,-0.22%
2015-10-01,0.7399,0.7385,0.7403,0.7353,0.15%
2015-09-30,0.7388,0.742,0.7431,0.7359,-0.50%
2015-09-29,0.7425,0.7408,0.7441,0.7379,0.19%
2015-09-28,0.7411,0.7371,0.7413,0.7333,0.52%
2015-09-25,0.7373,0.7366,0.7398,0.7299,0.07%
2015-09-24,0.7368,0.7335,0.7411,0.7318,0.41%
2015-09-23,0.7338,0.7233,0.7349,0.7232,1.40%
2015-09-22,0.7237,0.7211,0.726,0.7194,0.29%
2015-09-21,0.7216,0.7276,0.7288,0.721,-0.87%
2015-09-18,0.7279,0.7333,0.7341,0.7259,-0.76%
2015-09-17,0.7335,0.7285,0.7342,0.7272,0.66%
2015-09-16,0.7287,0.734,0.736,0.7264,-0.76%
2015-09-15,0.7343,0.7336,0.7359,0.731,0.05%
2015-09-14,0.7339,0.7347,0.7361,0.7323,-0.14%
2015-09-11,0.7349,0.7301,0.7359,0.7292,0.64%
2015-09-10,0.7302,0.7291,0.7322,0.724,0.14%
2015-09-09,0.7292,0.7272,0.7299,0.7237,0.25%
2015-09-08,0.7274,0.7314,0.733,0.7239,-0.53%
2015-09-07,0.7313,0.7355,0.7359,0.7297,-0.46%
2015-09-04,0.7347,0.7289,0.7355,0.728,0.78%
2015-09-03,0.729,0.7336,0.7375,0.7274,-0.65%
2015-09-02,0.7338,0.739,0.7398,0.7327,-0.74%
2015-09-01,0.7393,0.7306,0.7399,0.7299,1.15%
2015-08-31,0.7309,0.7255,0.7324,0.7243,0.63%
2015-08-28,0.7263,0.73,0.7355,0.7254,-0.53%
2015-08-27,0.7302,0.7319,0.7335,0.7274,-0.23%
