Date,Open,High,Low,Close,Volume,Adj Close
2016-03-30,31.549999,31.799999,31.389999,31.49,2657000,31.49
2016-03-29,30.940001,31.280001,30.75,31.26,3167400,31.26
2016-03-28,31.33,31.379999,31.18,31.290001,2309000,31.290001
2016-03-24,31.129999,31.26,31.02,31.209999,2744600,31.209999
2016-03-23,31.809999,31.83,31.530001,31.6,1934300,31.6
2016-03-22,31.879999,32.150002,31.809999,32,2406200,32
2016-03-21,32.57,32.68,32.380001,32.549999,2207800,32.549999
2016-03-18,32.810001,32.889999,32.490002,32.630001,2149700,32.630001
2016-03-17,32.299999,32.740002,32.259998,32.529999,3135200,32.529999
2016-03-16,32.099998,32.639999,32.09,32.580002,2678500,32.580002
2016-03-15,32.220001,32.380001,32.09,32.349998,2063900,32.349998
2016-03-14,32.490002,32.630001,32.369999,32.48,2060200,32.48
2016-03-11,32.41,32.740002,32.400002,32.740002,4363200,32.740002
2016-03-10,32.27,32.52,31.76,32.07,2399600,32.07
2016-03-09,32.400002,32.450001,31.98,32.110001,2663000,32.110001
2016-03-08,32.25,32.279999,31.870001,31.870001,3223100,31.870001
2016-03-07,31.700001,32.299999,31.68,32.169998,4086100,32.169998
2016-03-04,32.049999,32.490002,32.040001,32.299999,3548700,32.299999
2016-03-03,32.02,32.16,31.889999,32.16,3015000,32.16
2016-03-02,31.93,32.169998,31.780001,32.02,4706200,32.02
2016-03-01,32.009998,32.400002,31.889999,32.279999,4455500,31.279999
2016-02-29,31.92,32.150002,31.719999,31.77,3074500,30.7858
2016-02-26,32.439999,32.48,32.110001,32.18,4557100,31.183099
2016-02-25,31.24,31.48,31,31.469999,3664100,30.495093
2016-02-24,30.33,30.860001,30.129999,30.85,4904000,29.894301
2016-02-23,31.700001,31.709999,31.08,31.09,3298600,30.126866
2016-02-22,31.450001,31.82,31.450001,31.6,4041200,30.621067
2016-02-19,31.99,32.32,31.83,32.18,2952400,31.183099
2016-02-18,32.540001,32.59,32.169998,32.279999,2846000,31.279999
2016-02-17,32.619999,32.860001,32.52,32.720001,2613100,31.706371
2016-02-16,32.040001,32.369999,31.98,32.25,3546400,31.25093
2016-02-12,31.450001,31.959999,31.190001,31.92,3999000,30.931153
2016-02-11,30.68,31.059999,30.389999,30.709999,6385200,29.758637
