ID,Task,Weight,Complexity,Duration,Status,Financeject,Start,End,Theo Start,Theo End,Deliverable,Depends on,Ressource,Periodicity,PnL
1,Get the desk up to preserve screen,,,,Pending,InformationTechnology,,,,,,,,,
2,Create an account for Myriam on the localhost (Update the accesses),,,,Pending,InformationTechnology,,,,,,,,,
3,Dossier DDEC (Manque que la photo),,,,Pending,Admin,,,,,,,,,
4,Prépa entretien Luxembourg (Feedback Monday 11/05/2015 - OK - Remplir dossier),,,,Pending,Admin,,,,,,,,,
5,Appeler Robert à Cititec and see what he wants (Need to send email),,,,Pending,Admin,,,,,,,,,
6,Relancer Tom (Solutions...),,,,Pending,Admin,,,,,,,,,
7,Appeler Apside,,,,Pending,Admin,,,,,,,,,
8,Envoyer mail Alten,,,,Pending,Admin,,,,,,,,,
9,Voir pour le stockage et les impôts,,,,Pending,Day to day,,,,,,,,,
10,Faire lustrer tes lunettes,,,,Pending,Day to day,,,,,,,,,
11,Faire le tour des société d'Interim,,,,Pending,Day to day,,,,,,,,,
12,Check SFR,,,,Pending,Day to day,,,,,,,,,
13,dnssd://EPSON49DB23%20(Epson%20Stylus%20Office%20BX305)._printer._tcp.local/,,,,Pending,Day to day,,,,,,,,,
14,Add Linux & News & Sports & Admin,,,,Pending,Day to day,,,,,,,,,
15,Remove bookmarks (They are all included after step 6),,,,Pending,Day to day,,,,,,,,,
16,Check the size of the pictures and homogenize,,,,Pending,Day to day,,,,,,,,,
17,Most important is too check my personal finances documents/pdfs/RiskManagement/Finance.pdf,,,,Pending,Finance,,,,,,,,,
18,Assets - documents/researchwork/Datavalidated/assets.csv,,,,Pending,Finance,,,,,,,,,
19,Assets new - documents/researchwork/Datavalidated/assetsnew.csv,,,,Pending,Finance,,,,,,,,,
20,Cashflows - documents/researchwork/Datavalidated/cashflosw.csv,,,,Pending,Finance,,,,,,,,,
21,Tailler le piment et le basilic,,,,Pending,Gardening,,,,,,,,,
22,Planter la lavande,,,,Pending,Gardening,,,,,,,,,
23,Arroser les plantes,,,,Pending,Gardening,,,,,,,,,
24,Poser la bordure,,,,Pending,Gardening,,,,,,,,,
25,Planter les mirabelliers et l'ortensia,,,,Pending,Gardening,,,,,,,,,
26,"Planter les tomates, le pamplemoussier",,,,Pending,Gardening,,,,,,,,,
27,Checker la weed et le melon,,,,Pending,Gardening,,,,,,,,,
28,Annonce Plijadur,,,,Pending,Boat,,,,,,,,,
29,Photo Facebook + Photos Blog + Videos,,,,Pending,Boat,,,,,,,,,
30,Descriptif Jeanneau,,,,Pending,Boat,,,,,,,,,
31,"Price 30,000 Euro",,,,Pending,Boat,,,,,,,,,
32,Nettoyage société externe,,,,Pending,Boat,,,,,,,,,
33,Pourcentage Broker,,,,Pending,Boat,,,,,,,,,
34,Link to the vendor - http://www.jeanneau.fr/,,,,Pending,Boat,,,,,,,,,
35,Complete description,,,,Pending,Boat,,,,,,,,,
36,Prices index,,,,Pending,Guitar,,,,,,,,,
37,Clean the Startocaster,,,,Pending,Guitar,,,,,,,,,
38,Change the strings,,,,Pending,Guitar,,,,,,,,,
39,Playlist - documents/researchwork/Datavalidated/playlist.csv,,,,Pending,Guitar,,,,,,,,,
