Date,Open,High,Low,Close,Volume,Adj Close
2015-05-20,47.84,48.07,47.76,47.81,2082800,47.81
2015-05-19,47.70,47.93,47.64,47.85,3006900,47.35
2015-05-18,48.49,48.69,48.40,48.45,1436200,47.94373
2015-05-15,48.60,48.81,48.48,48.81,1465300,48.29997
2015-05-14,48.65,48.73,48.36,48.67,1807100,48.16143
2015-05-13,48.22,48.40,48.00,48.32,1752900,47.81509
2015-05-12,48.45,48.68,48.33,48.49,1872300,47.98331
2015-05-11,49.15,49.38,49.03,49.09,1823900,48.57704
2015-05-08,49.32,49.58,49.09,49.48,2105900,48.96297
2015-05-07,48.09,48.24,47.64,48.18,1678800,47.67655
2015-05-06,48.17,48.36,48.02,48.25,2533800,47.74582
2015-05-05,48.17,48.22,47.52,47.57,3675800,47.07293
2015-05-04,49.07,49.20,48.95,49.10,2028400,48.58694
2015-05-01,49.13,49.25,48.85,49.23,2339300,48.71558
2015-04-30,49.66,49.95,49.49,49.63,3540900,49.1114
2015-04-29,50.14,50.26,49.79,50.17,4139500,49.64576
2015-04-28,49.20,49.59,49.04,49.57,2511900,49.05202
2015-04-27,49.29,49.52,49.15,49.48,4058700,48.96297
2015-04-24,47.74,47.84,47.46,47.71,3276600,47.21146
2015-04-23,45.80,46.18,45.75,46.11,2009600,45.62818
2015-04-22,45.62,45.65,45.26,45.61,1820800,45.13341
2015-04-21,45.69,45.93,45.57,45.60,2424900,45.12351
2015-04-20,45.55,45.77,45.46,45.51,2092800,45.03445
2015-04-17,44.86,44.99,44.75,44.86,1772400,44.39124
2015-04-16,45.44,45.52,45.21,45.43,2202300,44.95529
2015-04-15,45.53,45.92,45.48,45.89,1623300,45.41048
2015-04-14,45.50,45.69,45.40,45.64,2965300,45.16309
2015-04-13,45.31,45.41,45.07,45.27,3990200,44.79696
2015-04-10,44.69,44.80,44.55,44.69,2179900,44.22302
2015-04-09,44.41,44.63,44.35,44.54,2915200,44.07458
2015-04-08,44.08,44.14,43.51,43.77,2843100,43.31263
2015-04-07,43.56,43.73,43.46,43.49,3491300,43.03556
2015-04-06,43.22,43.79,43.17,43.52,1205100,43.06525
2015-04-02,43.08,43.23,43.04,43.15,1316900,42.69911
2015-04-01,42.89,43.00,42.70,42.92,2098600,42.47151
2015-03-31,42.51,42.81,42.50,42.59,2073300,42.14496
2015-03-30,43.14,43.35,43.09,43.19,1937600,42.73869
2015-03-27,43.10,43.21,42.88,43.12,1982900,42.66942
2015-03-26,43.18,43.22,42.81,43.13,1982800,42.67932
2015-03-25,43.54,43.60,43.20,43.24,2176700,42.78817
2015-03-24,43.13,43.20,42.98,43.02,1780600,42.57047
2015-03-23,43.22,43.27,42.98,43.21,1855900,42.75848
2015-03-20,43.26,43.72,43.12,43.56,3535800,43.10483
2015-03-19,42.76,42.78,42.43,42.57,2259100,42.12517
2015-03-18,42.29,43.23,42.22,43.09,3266700,42.63974
2015-03-17,42.02,42.34,41.98,42.25,2411500,41.80851
2015-03-16,41.59,41.85,41.52,41.75,1503400,41.31374
2015-03-13,41.46,41.61,41.20,41.55,2318900,41.11583
2015-03-12,42.05,42.08,41.69,41.97,3466300,41.53144
2015-03-11,42.07,42.19,41.91,42.05,1868800,41.6106
2015-03-10,42.85,42.86,42.27,42.35,2652000,41.90747
2015-03-09,43.10,43.14,42.85,42.95,1882700,42.5012
2015-03-06,43.19,43.25,42.75,42.81,2860700,42.36266
2015-03-05,43.52,43.68,43.46,43.59,2063100,43.13451
2015-03-04,43.79,43.81,43.52,43.76,1490600,43.30273
2015-03-03,44.87,44.96,44.65,44.81,1554700,43.35222
2015-03-02,44.60,44.87,44.55,44.87,1229500,43.41026
2015-02-27,44.70,44.78,44.59,44.62,1527100,43.1684
2015-02-26,44.59,44.87,44.57,44.85,1497400,43.39091
2015-02-25,44.77,44.80,44.51,44.77,2392300,43.31352
2015-02-24,44.58,45.09,44.58,45.04,3624100,43.57473
2015-02-23,44.36,44.71,44.17,44.68,3921100,43.22644
2015-02-20,46.40,46.81,46.25,46.68,1339300,45.16138
2015-02-19,46.44,46.57,46.21,46.25,1288500,44.74537
2015-02-18,46.69,46.80,46.57,46.67,1820300,45.1517
2015-02-17,46.18,46.38,45.97,46.26,1813100,44.75504
2015-02-13,46.01,46.20,45.91,46.13,1847300,44.62927
2015-02-12,45.83,46.14,45.78,46.14,1955100,44.63895
2015-02-11,45.20,45.42,45.05,45.42,2363000,43.94237
2015-02-10,45.88,45.93,45.43,45.62,3488000,44.13586
2015-02-09,46.20,46.51,46.19,46.37,2097600,44.86147
2015-02-06,47.51,47.58,47.00,47.08,1463400,45.54837
2015-02-05,46.79,47.12,46.72,47.07,1742500,45.53869
2015-02-04,46.61,46.93,46.52,46.70,1502600,45.18073
2015-02-03,46.28,46.85,46.27,46.85,2197900,45.32585
2015-02-02,45.72,46.16,45.70,46.09,1701700,44.59057
2015-01-30,46.12,46.15,45.72,45.72,2044800,44.23261
2015-01-29,46.51,46.71,46.25,46.68,1774800,45.16138
2015-01-28,46.94,46.94,46.44,46.51,1783400,44.99691
2015-01-27,46.92,47.12,46.58,46.97,1935200,45.44195
2015-01-26,47.05,47.38,46.88,47.31,1847200,45.77089
2015-01-23,46.72,47.02,46.69,46.83,1994200,45.3065
2015-01-22,46.37,46.92,46.37,46.84,1682600,45.31617
2015-01-21,45.40,45.80,45.30,45.76,1860100,44.27131
2015-01-20,45.32,45.50,45.11,45.36,3186200,43.88432
2015-01-16,44.90,45.24,44.72,45.24,2908800,43.76823
2015-01-15,45.09,45.42,44.96,45.26,2440900,43.78757
2015-01-14,45.01,45.37,44.85,45.24,2740800,43.76823
2015-01-13,45.97,46.06,45.45,45.71,1884300,44.22293
2015-01-12,45.71,45.76,45.37,45.62,1603100,44.13586
2015-01-09,45.52,45.72,45.34,45.58,1397300,44.09717
2015-01-08,45.63,46.01,45.63,45.82,1601600,44.32936
2015-01-07,45.46,45.72,45.23,45.67,2122400,44.18423
2015-01-06,45.44,45.68,45.01,45.32,3408100,43.84562
2015-01-05,46.26,46.34,45.80,45.99,2599600,44.49383
2015-01-02,47.30,47.33,46.85,47.07,1446500,45.53869
2014-12-31,47.49,47.55,47.18,47.23,1178400,45.69349
2014-12-30,47.31,47.48,47.19,47.40,1575700,45.85796
2014-12-29,47.84,48.10,47.82,47.97,1110900,46.40941
2014-12-26,47.88,48.13,47.77,48.02,892800,46.45779
2014-12-24,47.68,47.84,47.42,47.71,1009100,46.15787
2014-12-23,47.48,47.61,47.38,47.53,2555300,45.98373
2014-12-22,47.86,47.88,47.60,47.78,1898000,46.22559
2014-12-19,47.44,47.71,47.23,47.54,2793200,45.9934
2014-12-18,46.46,47.09,46.44,47.08,3278100,45.54837
2014-12-17,46.51,46.87,46.30,46.70,3279200,45.18073
2014-12-16,46.53,47.54,46.34,46.91,3158700,45.3839
