"Date";"Solde au 12/10/12";"Débit Euros";"Crédit Euros";"Solde";"Categorie"
"11-Oct";"Ret Dab Lcl Marseille  10 10 12    
.                                  ";"40,00";;-40;"cash"
"10-Oct";"Ret Dab Marseille Cast 09 10 12    
.                                  ";"40,00";;-80;"cash"
"10-Oct";"Carte Linsolite        09/10/12    
.                                  ";"27,50";;"-107,5";
"10-Oct";"Prlv Ech Pret A Consommer          
273002084773023644389         S    ";"383,59";;"-491,09";"mortgage boat"
"10-Oct";"Prlv Ech Pret A Consommer          
273018128673056379735         S    ";"146,90";;"-637,99";"mortgage car"
"09-Oct";"Carte Sfr Espace       08/10/12    
.                                  ";"64,80";;"-702,79";
"09-Oct";"Ret Dab Marignane Cede 06 10 12    
.                                  ";"40,00";;"-742,79";
"09-Oct";"Ret Dab Brest          06 10 12    
.                                  ";"40,00";;"-782,79";
"09-Oct";"Ret Dab Marseille      08 10 12    
.                                  ";"40,00";;"-822,79";
"09-Oct";"Prlv 001007   Electricite De Fra   
*111540180216 14616 7   Edf Pra    ";"65,00";;"-887,79";
"09-Oct";"Prlv   Predica Garantie Deces      
*82900255460787*001tema3           ";"4,87";;"-892,66";
"08-Oct";"Carte Sarl Nissana     07/10/12    
.                                  ";"29,40";;"-922,06";
"08-Oct";"Carte Marche Plus      06/10/12    
.                                  ";"14,93";;"-936,99";
"08-Oct";"Carte Superette Recouv 05/10/12    
.                                  ";"14,60";;"-951,59";"picole"
"08-Oct";"Carte Casino 24 Porte  06/10/12    
.                                  ";"12,00";;"-963,59";"food"
"08-Oct";"Carte Vol24.Fr         05/10/12    
.                                  ";"10,78";;"-974,37";"picole"
"08-Oct";"**cotisation Cs Option 2           
.                                  ";"6,00";;"-980,37";"frais bancaires"
"05-Oct";"Carte Ryanair          03/10/12    
.                                  ";"88,40";;"-1068,77";"picole"
"05-Oct";"Carte Vol24.Fr         03/10/12    
.                                  ";"19,73";;"-1088,5";"picole"
"05-Oct";"Carte Superette Recouv 04/10/12    
.                                  ";"12,70";;"-1101,2";"picole"
"04-Oct";"Carte Superette Recouv 03/10/12    
.                                  ";"9,10";;"-1110,3";"picole"
"03-Oct";"Ret Dab 06321 Le Relec 02 10 12    
.                                  ";"80,00";;"-1190,3";"picole"
"03-Oct";"Carte Superette Recouv 02/10/12    
.                                  ";"15,20";;"-1205,5";"picole"
"03-Oct";"Carte Mc Donald's      02/10/12    
.                                  ";"11,30";;"-1216,8";"picole"
"03-Oct";"Carte Super U          02/10/12    
.                                  ";"51,90";;"-1268,7";"picole"
"02-Oct";"Carte Sncf             01/10/12    
.                                  ";"79,60";;"-1348,3";"picole"
"02-Oct";"Ret Dab Paris          01 10 12    
.                                  ";"40,00";;"-1388,3";"picole"
"02-Oct";"Carte Sushi Folies     01/10/12    
.                                  ";"13,50";;"-1401,8";"picole"
