Date,Open,High,Low,Close,Adj Close,Volume
1999-07-16,62.125000,62.312500,61.625000,62.062500,24.832932,231400
1999-07-19,63.625000,63.687500,61.500000,62.187500,24.882952,158200
1999-07-20,61.750000,61.750000,60.750000,60.875000,24.357784,79400
1999-07-21,60.875000,61.187500,60.375000,61.000000,24.407808,75200
1999-07-22,60.937500,61.000000,60.625000,60.875000,24.357784,33500
1999-07-23,58.500000,58.500000,57.250000,57.562500,23.032373,114700
1999-07-26,57.312500,58.250000,57.250000,58.000000,23.207424,46000
1999-07-27,59.312500,60.250000,59.000000,60.125000,24.057693,82400
1999-07-28,58.500000,59.375000,58.000000,58.875000,23.557539,93100
1999-07-29,58.875000,58.875000,57.500000,57.500000,23.007353,65600
1999-07-30,60.250000,60.250000,59.500000,60.250000,24.107712,82900
1999-08-02,60.500000,63.312500,60.500000,62.625000,25.058002,73700
1999-08-03,63.250000,63.250000,62.375000,63.000000,25.208059,97300
1999-08-04,63.250000,64.000000,62.562500,63.875000,25.558176,64500
1999-08-05,61.312500,61.750000,60.000000,61.687500,24.682896,192800
1999-08-06,59.812500,60.125000,59.000000,59.125000,23.657570,110200
1999-08-09,58.750000,59.000000,58.562500,58.687500,23.482498,52900
1999-08-10,57.000000,57.625000,56.625000,57.625000,23.057364,67500
1999-08-11,58.250000,58.750000,57.875000,58.750000,23.507524,46500
1999-08-12,61.125000,61.125000,60.375000,60.437500,24.182734,70200
1999-08-13,60.000000,61.000000,60.000000,60.625000,24.257748,55200
1999-08-16,60.625000,60.875000,60.250000,60.562500,24.232759,53000
1999-08-17,61.000000,61.000000,60.500000,60.625000,24.257748,36800
1999-08-18,60.500000,60.625000,59.625000,59.937500,24.278540,36000
1999-08-19,61.000000,62.125000,61.000000,61.937500,25.088661,69300
1999-08-20,62.500000,63.375000,62.500000,63.250000,25.620304,52300
1999-08-23,63.625000,64.875000,63.625000,63.875000,25.873482,105400
1999-08-24,63.500000,63.687500,62.187500,63.687500,25.797535,119000
1999-08-25,63.750000,64.000000,61.687500,61.750000,25.012712,137700
1999-08-26,63.500000,63.500000,61.875000,61.937500,25.088661,89700
1999-08-27,62.187500,62.625000,61.062500,61.125000,24.759556,88100
1999-08-30,62.500000,62.812500,61.875000,61.937500,25.088661,97400
1999-08-31,62.187500,62.500000,61.375000,62.250000,25.215246,51000
1999-09-01,61.687500,61.687500,61.187500,61.625000,24.962086,81200
1999-09-02,60.687500,60.750000,60.000000,60.687500,24.582338,41400
1999-09-03,61.500000,61.750000,61.312500,61.750000,25.012712,88300
1999-09-07,62.250000,62.250000,61.625000,61.750000,25.012712,21900
1999-09-08,61.000000,61.437500,60.875000,61.250000,24.810183,25900
1999-09-09,62.750000,62.750000,62.312500,62.625000,25.367147,74300
1999-09-10,62.750000,62.750000,62.250000,62.750000,25.417778,82200
1999-09-13,61.625000,61.750000,61.187500,61.625000,24.962086,75400
1999-09-14,60.875000,60.875000,60.437500,60.562500,24.531706,59200
1999-09-15,59.187500,59.187500,58.000000,58.750000,23.797520,118500
1999-09-16,58.500000,58.625000,58.000000,58.500000,23.696241,58400
1999-09-17,59.312500,60.250000,59.312500,60.125000,24.354485,54200
1999-09-20,59.500000,59.687500,59.062500,59.687500,24.177271,41100
1999-09-21,58.812500,58.812500,57.750000,57.812500,23.417770,50900
