ID	task	Project	weight	status
487	Buy lighter gaz	Day to day	1	Pending
211	Buy lighter gaz	Day to day	1	Pending
186	scanners les docs	Day to day	0	Pending
188	Photos of my stuff	Day to day	0	Pending
192	Add consumption to the IT tools	Day to day	0	Pending
193	Make list of books	Day to day	0	Pending
196	Find back crew Plijadur	Day to day	0	Pending
197	Ben Harper tatoo	Day to day	0	Pending
202	Contact PHD	Day to day	0	Pending
208	Call Christine	Day to day	0	Pending
185	Get back stuff Jessica	Day to day	0	Pending
180	Get the musculation stuff up stairs	Day to day	0	Pending
166	Buy guitar Titi	Day to day	0	Pending
10	Polish glasses	Day to day	0	Pending
66	Use lifting barr	Day to day	0	Pending
69	Buy a camping chair	Day to day	0	Pending
70	Add birthdays on the calendar	Day to day	0	Pending
137	Acheter cadre	Day to day	0	Pending
143	Get back the portable freeezer	Day to day	0	Pending
145	Installer musculation engine	Day to day	0	Pending
152	Buy black gloves	Day to day	0	Pending
153	Get back tools from Zaz	Day to day	0	Pending
9	Check for storage	Day to day	0	Pending
