ID	task	Project	weight	status
222	HSBC transfer	Finance	80	Pending
226	Contact EDF	Finance	1	Pending
224	Check weird bank transfers	Finance	1	Pending
45	Add St Meen to the calendrier	Admin	0	Pending
234	Update LinkedIn	Finance	0	Pending
232	Get a lawyer	Finance	0	Pending
220	Meeting taxes	Finance	0	Pending
218	Calculate Australian project	Finance	0	Pending
215	Sell guitar	Finance	0	Pending
72	Regroup contacts by town	Admin	0	Pending
71	Sell guitar stand	Admin	0	Pending
62	Declare revenues	Admin	0	Pending
58	Transfert MDP agenda 2014	Admin	0	Pending
57	Manage historical revenues	Admin	0	Pending
56	Pay Alfa	Finance	0	Pending
52	List accesses	Admin	0	Pending
46	Pay baillif for the Castel harbour	Admin	0	Pending
281	Check references	Admin	0	Pending
