MyDate	GroupLib	Libelle	Debit	Credit	Category	Weekly	Monthly	Yearly
2017-04-20 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN19/04	15	0	NULL	NULL	NULL	NULL
2017-04-20 00:00:00	RETRAITAUDISTRIBUTEUR	DINAN19/0408H16	80	0	NULL	NULL	NULL	NULL
2017-04-19 00:00:00	PAIEMENTPARCARTE	CAFEDUCHATEAUDINAN18/04	9	0	NULL	NULL	NULL	NULL
2017-04-19 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN18/04	9	0	NULL	NULL	NULL	NULL
2017-04-19 00:00:00	PAIEMENTPARCARTE	BOULANGERIEARMORIQDINAN18/04	1	0	NULL	NULL	NULL	NULL
2017-04-19 00:00:00	PAIEMENTPARCARTE	INTERMARCHELANVAL17/04	13	0	NULL	NULL	NULL	NULL
2017-04-18 00:00:00	PAIEMENTPARCARTE	CAFEDUCHATEAUDINAN14/04	9	0	NULL	NULL	NULL	NULL
2017-04-18 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN14/04	12	0	NULL	NULL	NULL	NULL
2017-04-18 00:00:00	PAIEMENTPARCARTE	INTERMARCHELANVAL15/04	8	0	NULL	NULL	NULL	NULL
2017-04-18 00:00:00	PAIEMENTPARCARTE	BARDESVEDETTEDINAN15/04	25	0	NULL	NULL	NULL	NULL
2017-04-18 00:00:00	PAIEMENTPARCARTE	BARDESVEDETTEDINAN16/04	45	0	NULL	NULL	NULL	NULL
2017-04-18 00:00:00	PAIEMENTPARCARTE	BARVEDETTESDINAN17/04	11	0	NULL	NULL	NULL	NULL
2017-04-18 00:00:00	PRELEVEMENT	SUPPLETIS018506	172	0	NULL	NULL	NULL	NULL
2017-04-14 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN13/04	7	0	NULL	NULL	NULL	NULL
2017-04-13 00:00:00	PAIEMENTPARCARTE	BARDESVEDETTEDINAN12/04	14	0	NULL	NULL	NULL	NULL
2017-04-13 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN12/04	7	0	NULL	NULL	NULL	NULL
2017-04-13 00:00:00	PRELEVMNT	DEMENAGEMENTSGUIOMARD	149	0	NULL	NULL	NULL	NULL
2017-04-12 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN11/04	5	0	NULL	NULL	NULL	NULL
