MaxDate; PnL; CumPnL; Tox; Debt(40%); Cash(50%); Tox-Debt(40%)
2013-02-01;-1339;-1338;-1107;-1127;-961;-896
2013-05-01;2781;1442;1904;1865;2197;2327
2013-06-01;-1098;344;1037;978;1476;1671
2013-07-01;-1028;-683;240;162;826;1086
2013-08-01;-3428;-4111;-2956;-3053;-2224;-1898
2013-09-01;-2729;-6840;-5454;-5571;-4575;-4185
2013-10-01;324;-6516;-4899;-5035;-3874;-3418
2013-11-01;-100;-6616;-4768;-4924;-3596;-3076
2013-12-01;559;-6057;-3978;-4153;-2660;-2074
2014-01-01;20957;14899;17209;17015;18674;19325
